Data,Descrizione,Entrate,Uscite,Saldo
03/09/2025,BONIFICO STIPENDO SETTEMBRE,2450.0,,10900.0
03/09/2025,PAGAM. FORNITORE ROSSI SRL,,735.5,10164.5
09/09/2025,CANONE AFFITTO UFFICIO,,1200.0,8964.5
10/09/2025,POS SUPERMERCATO ABC,,86.4,8878.1
11/09/2025,BONIFICO CLIENTE ALFA TECNICA,1850.75,,10728.85
12/09/2025,PAGAM. FATT. 184 / BIANCHI SRL,,420.0,10308.85
13/09/2025,ADDEBITO TELEFONO / INTERNET,,59.9,10248.95
15/09/2025,INCASSO CLIENTE BETA SRL,980.5,,11229.45
16/09/2025,PAGAMENTO ENERGIA ELETTRICA,,312.85,10916.6
17/09/2025,bonifico stipendio (err.),1275.0,,12191.6
18/09/2025,PAGAM. FORNITORE ROSI S.R.L.,,215.3,11976.3
20/09/2025,PRELIEVO ATM,,200.0,11776.3
21/09/2025,RIMBORSO SPESE TRASFERTA,340.0,,12116.3
22/09/2025,PAGAMENTO F24,,640.25,11476.05
23/09/2025,COMMISSIONI BANCA,,18.75,11457.3
24/09/2025,BONIFICO CLIENTE GAMMA,2100.0,,13557.3
25/09/2025,ACQ. MATERIALE UFFICIO,,147.2,13410.1
26/09/2025,PAGAM. FORNITORE DELTA SNC,,525.0,12885.1
28/09/2025,INCASSO FATTURA N. 77,1325.45,,14210.55
29/09/2025,PAGAMENTO ASSICURAZIONE,,188.6,14021.95
30/09/2025,BONIFICO CLIENTE OMEGA SRL,1450.0,,15471.95
01/10/2025,PAGAM. FORNITORE VERDI SRL,,245.0,15226.95
02/10/2025,ADDEBITO CARTA AZIENDALE,,92.4,15134.55
